Game Result,Total Moves,Average Game Time,Final Game Board
Agent 1 (opp_1),22,1.16,"[[[[ 1  0 -1]
   [ 0  1 -1]
   [-1 -1  1]]

  [[ 1  0 -1]
   [-1  1  0]
   [ 0  0  1]]

  [[ 0  0  1]
   [ 0  1  0]
   [ 1 -1  0]]]


 [[[ 0  1  0]
   [-1 -1  1]
   [ 1  0  0]]

  [[ 0  0 -1]
   [ 0  1 -1]
   [-1  0 -1]]

  [[ 1  0 -1]
   [ 0  1  0]
   [ 0  0  1]]]


 [[[-1  0  0]
   [-1  1  0]
   [-1  0  0]]

  [[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[ 1 -1 -1]
   [ 0  1 -1]
   [ 0 -1 -1]]]]"
Agent 2 (opp_2),23,1.23,"[[[[-1  0  0]
   [ 1 -1  0]
   [ 0  1  1]]

  [[ 1 -1  1]
   [ 1 -1  0]
   [ 0  1  0]]

  [[ 0  1 -1]
   [ 0 -1  0]
   [-1  0  1]]]


 [[[-1  0  1]
   [-1 -1 -1]
   [ 0  0  1]]

  [[ 1  1  0]
   [-1  1  0]
   [ 0  1  0]]

  [[ 0 -1  0]
   [ 1 -1  1]
   [ 0 -1  0]]]


 [[[ 0  0  0]
   [ 0 -1  0]
   [ 0  0  0]]

  [[ 0 -1 -1]
   [ 1 -1  1]
   [ 1 -1  1]]

  [[-1  0  0]
   [ 1 -1  0]
   [ 0  1 -1]]]]"
Agent 2 (opp_2),25,0.84,"[[[[-1  1  1]
   [-1 -1 -1]
   [ 0  0  1]]

  [[ 1 -1  0]
   [ 1 -1  0]
   [ 1  0  0]]

  [[ 1  0 -1]
   [ 0 -1  1]
   [ 0  1  1]]]


 [[[-1 -1  0]
   [ 0 -1  1]
   [ 0  1  0]]

  [[ 1  0  0]
   [ 1  1  0]
   [ 1  0 -1]]

  [[-1  0  1]
   [ 1 -1 -1]
   [ 1  1  1]]]


 [[[ 0  0 -1]
   [ 0 -1  1]
   [-1  0  1]]

  [[ 0  0  0]
   [-1 -1 -1]
   [ 0  0  0]]

  [[ 1  1 -1]
   [ 0 -1 -1]
   [ 0  0 -1]]]]"
Agent 2 (opp_2),21,1.03,"[[[[-1  1  1]
   [ 1 -1  1]
   [ 0  1 -1]]

  [[ 0 -1  0]
   [ 0 -1  0]
   [ 1 -1  0]]

  [[-1  0  0]
   [ 0 -1  0]
   [ 0  0 -1]]]


 [[[-1  0  1]
   [ 0 -1  0]
   [ 0  1 -1]]

  [[ 1  1  0]
   [ 1  0  1]
   [ 1  1  1]]

  [[-1  1  1]
   [ 0 -1 -1]
   [ 0  1  0]]]


 [[[ 0  0  0]
   [ 0 -1  1]
   [-1  0  0]]

  [[ 0  0  0]
   [-1 -1 -1]
   [ 0  0  0]]

  [[ 1  1  0]
   [ 0 -1  0]
   [ 0  0  0]]]]"
Agent 2 (opp_2),16,0.78,"[[[[-1  0  1]
   [-1 -1  0]
   [-1  1  0]]

  [[ 0  0  0]
   [ 0  0  1]
   [ 0  0  0]]

  [[ 1  0 -1]
   [ 0 -1  0]
   [-1  0  0]]]


 [[[ 1  0  1]
   [ 0  0  1]
   [ 0  0  1]]

  [[ 1  0  1]
   [ 0 -1  1]
   [ 0  0  1]]

  [[ 0  0  0]
   [-1 -1 -1]
   [ 0  0  0]]]


 [[[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[ 0  0  0]
   [ 0 -1  0]
   [ 0  0  0]]

  [[ 1  0 -1]
   [ 0 -1  0]
   [-1  0 -1]]]]"
Agent 2 (opp_2),22,1.27,"[[[[-1  0  1]
   [ 1 -1  1]
   [ 1  0  1]]

  [[-1  0  0]
   [ 0 -1  0]
   [ 1  0 -1]]

  [[ 1  1 -1]
   [ 0 -1  0]
   [-1  0  0]]]


 [[[-1  0  0]
   [ 0 -1  0]
   [ 0  1  1]]

  [[ 1  0  1]
   [ 1  0  1]
   [ 1  0  0]]

  [[ 0  1  0]
   [-1 -1 -1]
   [ 0  1  0]]]


 [[[ 0  0 -1]
   [ 0 -1  0]
   [-1  1  0]]

  [[-1  0  0]
   [ 0 -1  0]
   [ 1  0 -1]]

  [[-1  1  1]
   [ 0 -1  0]
   [ 1  0 -1]]]]"
Agent 2 (opp_2),16,0.74,"[[[[-1  0  1]
   [ 0 -1  0]
   [ 0  0 -1]]

  [[-1  0  1]
   [ 0 -1  0]
   [ 1  0  1]]

  [[ 0  0 -1]
   [ 0 -1  0]
   [-1  0  1]]]


 [[[ 0  0  0]
   [ 0  0  0]
   [ 0  1  0]]

  [[ 1  1  0]
   [ 0  1  1]
   [ 0  0  1]]

  [[ 1  0  0]
   [-1 -1 -1]
   [ 0  0  0]]]


 [[[ 0  1  0]
   [ 0 -1  1]
   [ 0  0  0]]

  [[ 0  0  0]
   [ 0 -1  1]
   [ 0  0  0]]

  [[-1  0  1]
   [ 0 -1  0]
   [ 0  0 -1]]]]"
Agent 2 (opp_2),15,0.79,"[[[[ 0  0  0]
   [ 1  1  1]
   [ 1  0  1]]

  [[-1  0  0]
   [ 0 -1  0]
   [ 0  0  1]]

  [[-1  0  1]
   [ 0 -1  0]
   [ 0  0 -1]]]


 [[[-1  0  0]
   [ 0 -1  0]
   [ 0  0  0]]

  [[ 0 -1  1]
   [ 0  1  1]
   [ 0  0  1]]

  [[-1  1  0]
   [ 0 -1  0]
   [ 0  0 -1]]]


 [[[ 0  0  0]
   [ 1 -1  0]
   [ 0  0  0]]

  [[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[-1  1  0]
   [ 0 -1  1]
   [ 0  0 -1]]]]"
Agent 2 (opp_2),15,0.78,"[[[[-1  0  0]
   [ 0 -1  0]
   [ 1  0 -1]]

  [[ 1  0  0]
   [ 0 -1  0]
   [ 0  0  0]]

  [[ 1  0  0]
   [ 1 -1  0]
   [ 0  0  0]]]


 [[[ 0  0  1]
   [-1 -1 -1]
   [ 1  0  1]]

  [[ 1  0  0]
   [ 1  0  0]
   [ 1  0  1]]

  [[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]]


 [[[ 0  0 -1]
   [ 0 -1  0]
   [-1  1  0]]

  [[ 0  0  0]
   [ 0 -1  0]
   [ 0  0  1]]

  [[-1  1  0]
   [ 0 -1  0]
   [ 1  0 -1]]]]"
Agent 2 (opp_2),26,1.42,"[[[[-1  1  0]
   [-1 -1  0]
   [-1  1  0]]

  [[-1  0  0]
   [ 0 -1  0]
   [ 0  0 -1]]

  [[-1  1  1]
   [ 1 -1  1]
   [ 0  1 -1]]]


 [[[ 1  1 -1]
   [-1 -1 -1]
   [ 0  0  1]]

  [[ 1  1  0]
   [ 1 -1  1]
   [ 1  1  1]]

  [[ 0  1 -1]
   [-1 -1  1]
   [ 1  0  0]]]


 [[[ 1  0  0]
   [ 0  1  0]
   [-1  1  1]]

  [[ 1 -1  0]
   [ 0 -1  0]
   [-1 -1  0]]

  [[ 0  1 -1]
   [ 0 -1  0]
   [-1  0  0]]]]"
